space, pressure
0.134878, 995549
0.134968, 995540
0.135059, 995530
0.135149, 995521
0.135239, 995511
0.135329, 995502
0.135419, 995492
0.135509, 995483
0.135599, 995473
0.135689, 995464
0.135779, 995454
0.135869, 995445
0.135959, 995435
0.136049, 995426
0.136139, 995416
0.136229, 995406
0.136319, 995397
0.136409, 995387
0.136499, 995378
0.136589, 995368
0.136679, 995358
0.136769, 995349
0.136859, 995339
0.136949, 995329
0.137039, 995320
0.137129, 995310
0.137219, 995300
0.137309, 995291
0.137399, 995281
0.137489, 995271
0.137579, 995261
0.137669, 995252
0.137759, 995242
0.137849, 995232
0.137939, 995222
0.138029, 995213
0.138119, 995203
0.138209, 995193
0.138299, 995183
0.138389, 995173
0.138479, 995164
0.138569, 995154
0.138659, 995144
0.138749, 995134
0.138839, 995124
0.138929, 995114
0.139019, 995104
0.139109, 995095
0.139199, 995085
0.139289, 995075
0.139379, 995065
0.139469, 995055
0.139559, 995045
0.139649, 995035
0.139739, 995025
0.139829, 995015
0.139919, 995005
0.140009, 994995
0.140099, 994985
0.140189, 994975
0.140279, 994965
0.140369, 994955
0.140459, 994945
0.140549, 994935
0.140639, 994925
0.140729, 994915
0.140819, 994905
0.140909, 994894
0.140999, 994884
0.141089, 994874
0.141179, 994864
0.141269, 994854
0.141359, 994844
0.141449, 994834
0.141539, 994823
0.141629, 994813
0.141719, 994803
0.141809, 994793
0.141899, 994783
0.141989, 994772
0.142079, 994762
0.142169, 994752
0.142259, 994742
0.142349, 994731
0.142439, 994721
0.142529, 994711
0.142619, 994701
0.142709, 994690
0.142799, 994680
0.142889, 994670
0.142979, 994659
0.143069, 994649
0.143159, 994639
0.143249, 994628
0.143339, 994618
0.143429, 994608
0.143519, 994597
0.143609, 994587
0.143699, 994576
0.143789, 994566
0.143879, 994556
0.143969, 994545
0.144059, 994535
0.144149, 994524
0.144239, 994514
0.144329, 994503
0.144419, 994493
0.144509, 994482
0.144599, 994472
0.144689, 994461
0.144779, 994451
0.144869, 994440
0.144959, 994430
0.14505, 994419
0.14514, 994408
0.14523, 994398
0.14532, 994387
0.14541, 994377
0.1455, 994366
0.14559, 994355
0.14568, 994345
0.14577, 994334
0.14586, 994324
0.14595, 994313
0.14604, 994302
0.14613, 994292
0.14622, 994281
0.14631, 994270
0.1464, 994259
0.14649, 994249
0.14658, 994238
0.14667, 994227
0.14676, 994216
0.14685, 994206
0.14694, 994195
0.14703, 994184
0.14712, 994173
0.14721, 994163
0.1473, 994152
0.14739, 994141
0.14748, 994130
0.14757, 994119
0.14766, 994108
0.14775, 994098
0.14784, 994087
0.14793, 994076
0.14802, 994065
0.14811, 994054
0.1482, 994043
0.14829, 994032
0.14838, 994021
0.14847, 994010
0.14856, 993999
0.14865, 993988
0.14874, 993977
0.14883, 993966
0.14892, 993955
0.14901, 993944
0.1491, 993933
0.14919, 993922
0.14928, 993911
0.14937, 993900
0.14946, 993889
0.14955, 993878
0.14964, 993867
0.14973, 993856
0.14982, 993845
0.14991, 993834
0.15, 993823
0.15009, 993812
0.15018, 993801
0.15027, 993789
0.15036, 993778
0.15045, 993767
0.15054, 993756
0.15063, 993745
0.15072, 993734
0.15081, 993722
0.1509, 993711
0.15099, 993700
0.15108, 993689
0.15117, 993677
0.15126, 993666
0.15135, 993655
0.15144, 993644
0.15153, 993632
0.15162, 993621
0.15171, 993610
0.1518, 993599
0.15189, 993587
0.15198, 993576
0.15207, 993565
0.15216, 993553
0.15225, 993542
0.15234, 993530
0.15243, 993519
0.15252, 993508
0.15261, 993496
0.1527, 993485
0.15279, 993473
0.15288, 993462
0.15297, 993451
0.15306, 993439
0.15315, 993428
0.15324, 993416
0.15333, 993405
0.15342, 993393
0.15351, 993382
0.1536, 993370
0.15369, 993359
0.15378, 993347
0.15387, 993336
0.15396, 993324
0.15405, 993313
0.15414, 993301
0.15423, 993289
0.15432, 993278
0.15441, 993266
0.1545, 993255
0.15459, 993243
0.15468, 993231
0.15477, 993220
0.15486, 993208
0.15495, 993196
0.155041, 993185
0.155131, 993173
0.155221, 993161
0.155311, 993150
0.155401, 993138
0.155491, 993126
0.155581, 993114
0.155671, 993103
0.155761, 993091
0.155851, 993079
0.155941, 993067
0.156031, 993056
0.156121, 993044
0.156211, 993032
0.156301, 993020
0.156391, 993008
0.156481, 992997
0.156571, 992985
0.156661, 992973
0.156751, 992961
0.156841, 992949
0.156931, 992937
0.157021, 992925
0.157111, 992914
0.157201, 992902
0.157291, 992890
0.157381, 992878
0.157471, 992866
0.157561, 992854
0.157651, 992842
0.157741, 992830
0.157831, 992818
0.157921, 992806
0.158011, 992794
0.158101, 992782
0.158191, 992770
0.158281, 992758
0.158371, 992746
0.158461, 992734
0.158551, 992722
0.158641, 992710
0.158731, 992698
0.158821, 992686
0.158911, 992673
0.159001, 992661
0.159091, 992649
0.159181, 992637
0.159271, 992625
0.159361, 992613
0.159451, 992601
0.159541, 992588
0.159631, 992576
0.159721, 992564
0.159811, 992552
0.159901, 992540
0.159991, 992527
0.160081, 992515
0.160171, 992503
0.160261, 992491
0.160351, 992478
0.160441, 992466
0.160531, 992454
0.160621, 992442
0.160711, 992429
0.160801, 992417
0.160891, 992405
0.160981, 992392
0.161071, 992380
0.161161, 992368
0.161251, 992355
0.161341, 992343
0.161431, 992331
0.161521, 992318
0.161611, 992306
0.161701, 992293
0.161791, 992281
0.161881, 992269
0.161971, 992256
0.162061, 992244
0.162151, 992231
0.162241, 992219
0.162331, 992206
0.162421, 992194
0.162511, 992181
0.162601, 992169
0.162691, 992156
0.162781, 992144
0.162871, 992131
0.162961, 992119
0.163051, 992106
0.163141, 992093
0.163231, 992081
0.163321, 992068
0.163411, 992056
0.163501, 992043
0.163591, 992030
0.163681, 992018
