space, t=0.000000, t=0.100000, t=0.200000, t=0.300000, t=0.400000, t=0.500000, t=0.600000, t=0.700000, t=0.800000, t=0.900000, 
0.0795, 1, 0.040806, 5.2473e-14, 2.21628e-32, 7.34002e-54, 3.68388e-77, 1.17577e-101, 5.33315e-127, 5.64803e-153, 1.93895e-179, 
0.0805, 1, 0.0474111, 9.25657e-14, 5.28724e-32, 2.20882e-53, 1.33857e-76, 5.00657e-101, 2.60409e-126, 3.11072e-152, 1.18905e-178, 
0.0815, 1, 0.05475, 1.61862e-13, 1.24907e-31, 6.57867e-53, 4.81205e-76, 2.10865e-100, 1.25745e-125, 1.69404e-151, 7.20913e-178, 
0.0825, 1, 0.0628497, 2.80594e-13, 2.92256e-31, 1.93951e-52, 1.71175e-75, 8.78573e-100, 6.00554e-125, 9.12326e-151, 4.32195e-177, 
0.0835, 1, 0.0717301, 4.82297e-13, 6.7736e-31, 5.66091e-52, 6.02606e-75, 3.62181e-99, 2.8373e-124, 4.85966e-150, 2.56245e-176, 
0.0845, 1, 0.0814034, 8.2207e-13, 1.55531e-30, 1.63599e-51, 2.09978e-74, 1.47744e-98, 1.32622e-123, 2.56067e-149, 1.5027e-175, 
0.0855, 1, 0.0918733, 1.38969e-12, 3.53843e-30, 4.68207e-51, 7.243e-74, 5.9647e-98, 6.13391e-123, 1.33491e-148, 8.71745e-175, 
0.0865, 1, 0.103135, 2.33022e-12, 7.9774e-30, 1.32713e-50, 2.47359e-73, 2.38355e-97, 2.8076e-122, 6.88594e-148, 5.00345e-174, 
0.0875, 1, 0.115172, 3.87616e-12, 1.78248e-29, 3.72619e-50, 8.36489e-73, 9.42916e-97, 1.27194e-121, 3.51515e-147, 2.84164e-173, 
0.0885, 1, 0.127963, 6.39709e-12, 3.94778e-29, 1.03645e-49, 2.80137e-72, 3.69311e-96, 5.70408e-121, 1.77604e-146, 1.59715e-172, 
0.0895, 1, 0.141471, 1.04759e-11, 8.66766e-29, 2.85639e-49, 9.2921e-72, 1.43231e-95, 2.5325e-120, 8.88263e-146, 8.88498e-172, 
0.0905, 1, 0.155656, 1.70246e-11, 1.88678e-28, 7.80056e-49, 3.05312e-71, 5.50121e-95, 1.1133e-119, 4.39813e-145, 4.89276e-171, 
0.0915, 1, 0.170463, 2.74595e-11, 4.07253e-28, 2.11118e-48, 9.93833e-71, 2.09273e-94, 4.84649e-119, 2.15618e-144, 2.66742e-170, 
